seed,family,number_of_items,capacity,weights,values,greedy_value,optimal_value,failure,relative_gap
0,independent,20,206,"(25, 27, 17, 32, 20, 23, 14, 9, 9, 7, 17, 46, 10, 7, 5, 22, 36, 23, 21, 41)","(98, 6, 66, 52, 62, 75, 65, 37, 97, 80, 69, 78, 40, 94, 88, 61, 13, 56, 79, 27)",1011,1011,False,0.0
1,independent,20,250,"(9, 49, 17, 32, 29, 42, 14, 32, 25, 39, 50, 45, 18, 15, 7, 2, 2, 35, 25, 14)","(73, 9, 16, 98, 61, 49, 13, 4, 56, 98, 1, 58, 93, 76, 41, 3, 84, 2, 88, 55)",855,855,False,0.0
2,independent,20,206,"(4, 6, 11, 43, 17, 14, 3, 44, 28, 26, 33, 35, 33, 3, 24, 21, 28, 11, 12, 15)","(12, 47, 95, 40, 78, 78, 75, 21, 82, 93, 48, 57, 35, 4, 60, 49, 68, 72, 31, 4)",840,840,False,0.0
3,independent,20,294,"(16, 35, 24, 31, 38, 39, 31, 36, 13, 31, 36, 26, 10, 41, 34, 48, 43, 5, 49, 3)","(76, 17, 78, 81, 9, 2, 34, 30, 92, 70, 61, 82, 30, 20, 50, 2, 100, 21, 76, 39)",806,806,False,0.0
4,independent,20,204,"(16, 7, 26, 10, 5, 26, 19, 4, 34, 24, 50, 7, 14, 42, 18, 11, 19, 47, 6, 22)","(39, 93, 62, 12, 3, 71, 98, 29, 69, 36, 23, 34, 4, 34, 25, 40, 81, 48, 78, 86)",783,783,False,0.0
5,independent,20,280,"(40, 48, 45, 42, 2, 50, 42, 11, 24, 16, 35, 37, 1, 14, 18, 50, 11, 5, 40, 29)","(33, 46, 95, 68, 60, 32, 7, 15, 61, 49, 14, 32, 94, 53, 24, 50, 98, 18, 80, 17)",765,765,False,0.0
6,independent,20,304,"(37, 32, 17, 1, 43, 31, 48, 21, 2, 32, 47, 35, 44, 13, 36, 47, 43, 44, 28, 6)","(11, 98, 5, 19, 76, 98, 48, 99, 35, 26, 53, 70, 13, 73, 90, 34, 79, 12, 43, 47)",827,827,False,0.0
7,independent,20,218,"(21, 26, 4, 35, 24, 4, 14, 6, 27, 16, 36, 4, 8, 41, 38, 37, 26, 15, 36, 19)","(20, 84, 10, 13, 75, 65, 5, 56, 9, 12, 55, 73, 29, 81, 8, 75, 7, 6, 18, 54)",657,657,False,0.0
8,independent,20,267,"(15, 25, 13, 3, 9, 33, 26, 2, 32, 25, 37, 26, 32, 49, 45, 34, 31, 47, 43, 7)","(48, 17, 91, 11, 32, 27, 83, 59, 59, 64, 25, 12, 30, 3, 35, 53, 49, 15, 34, 9)",615,615,False,0.0
9,independent,20,252,"(30, 24, 9, 44, 22, 30, 6, 36, 45, 47, 11, 29, 28, 11, 4, 9, 38, 50, 25, 7)","(79, 35, 24, 1, 65, 78, 43, 79, 6, 49, 91, 93, 21, 31, 15, 65, 9, 89, 96, 38)",797,817,True,0.02447980416156671
