seed,family,number_of_items,capacity,weights,values,greedy_value,optimal_value,failure,relative_gap
0,strongly_correlated,20,252,"(25, 49, 27, 3, 17, 33, 32, 26, 20, 31, 23, 38, 14, 33, 9, 19, 9, 49, 7, 40)","(35, 59, 37, 13, 27, 43, 42, 36, 30, 41, 33, 48, 24, 43, 19, 29, 19, 59, 17, 50)",360,382,True,0.05759162303664921
1,strongly_correlated,20,264,"(9, 37, 49, 5, 17, 8, 32, 49, 29, 31, 42, 25, 14, 7, 32, 2, 25, 28, 39, 49)","(19, 47, 59, 15, 27, 18, 42, 59, 39, 41, 52, 35, 24, 17, 42, 12, 35, 38, 49, 59)",404,404,False,0.0
2,strongly_correlated,20,254,"(4, 6, 6, 24, 11, 48, 43, 20, 17, 39, 14, 39, 3, 38, 44, 11, 28, 41, 26, 47)","(14, 16, 16, 34, 21, 58, 53, 30, 27, 49, 24, 49, 13, 48, 54, 21, 38, 51, 36, 57)",387,394,True,0.017766497461928935
3,strongly_correlated,20,270,"(16, 38, 35, 9, 24, 39, 31, 41, 38, 5, 39, 1, 31, 17, 36, 15, 13, 46, 31, 35)","(26, 48, 45, 19, 34, 49, 41, 51, 48, 15, 49, 11, 41, 27, 46, 25, 23, 56, 41, 45)",393,400,True,0.0175
4,strongly_correlated,20,215,"(16, 20, 7, 47, 26, 31, 10, 6, 5, 2, 26, 36, 19, 49, 4, 15, 34, 35, 24, 18)","(26, 30, 17, 57, 36, 41, 20, 16, 15, 12, 36, 46, 29, 59, 14, 25, 44, 45, 34, 28)",338,355,True,0.04788732394366197
5,strongly_correlated,20,278,"(40, 17, 48, 23, 45, 48, 42, 34, 2, 30, 50, 16, 42, 4, 11, 8, 24, 31, 16, 25)","(50, 27, 58, 33, 55, 58, 52, 44, 12, 40, 60, 26, 52, 14, 21, 18, 34, 41, 26, 35)",371,408,True,0.09068627450980392
6,strongly_correlated,20,262,"(37, 6, 32, 49, 17, 3, 1, 10, 43, 38, 31, 49, 48, 24, 21, 50, 2, 18, 32, 13)","(47, 16, 42, 59, 27, 13, 11, 20, 53, 48, 41, 59, 58, 34, 31, 60, 12, 28, 42, 23)",387,401,True,0.034912718204488775
7,strongly_correlated,20,177,"(21, 10, 26, 42, 4, 5, 35, 7, 24, 38, 4, 33, 14, 3, 6, 28, 27, 5, 16, 6)","(31, 20, 36, 52, 14, 15, 45, 17, 34, 48, 14, 43, 24, 13, 16, 38, 37, 15, 26, 16)",291,317,True,0.08201892744479496
8,strongly_correlated,20,216,"(15, 24, 25, 9, 13, 46, 3, 6, 9, 16, 33, 14, 26, 42, 2, 30, 32, 30, 25, 32)","(25, 34, 35, 19, 23, 56, 13, 16, 19, 26, 43, 24, 36, 52, 12, 40, 42, 40, 35, 42)",317,346,True,0.0838150289017341
9,strongly_correlated,20,263,"(30, 40, 24, 18, 9, 12, 44, 1, 22, 33, 30, 39, 6, 22, 36, 40, 45, 3, 47, 25)","(40, 50, 34, 28, 19, 22, 54, 11, 32, 43, 40, 49, 16, 32, 46, 50, 55, 13, 57, 35)",365,393,True,0.07124681933842239
